page,title,url
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,【免費健康諮詢門診】－115年3月服務時間,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20262400_02
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,【VISION 2026臺大校園徵才】跨學院主題論壇,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20261304_03
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,臺大椰林講座領航系列 - 中央研究院廖俊智院長,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20263700_02
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,114-2 FLTC 英語小聚,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20265161_03
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,實驗動物繼續教育訓練,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=2026F400_01
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,【學輔活動】來囉來囉～文學院專屬職涯日！2026年3月5日！上車囉！,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20261326_01
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,2026職業衛生講座(二)：健康老化不失智：失智症預防與支持資源介紹,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20262400_01
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,【CARDO】114-2 職涯高飛,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20265791_05
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,跨域Combo！半導體跨域學習計畫說明會,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20263700_01
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,諾貝爾獎得主演講系列 – 宋恭源先生頂尖研究講座 – Prof. May-Britt Moser (2014年諾貝爾生理醫學獎得主),https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20253700_13
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,諾貝爾獎得主演講系列 – 宋恭源先生頂尖研究講座 – Prof. Morten P. Meldal (2022年諾貝爾化學獎得主),https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20253700_12
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,2026【給教職員工的藝文通識課】,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=2026A900_01
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,工作職場法律及職業傷病面面觀（實體講座）,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20252400_14
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,2026職業衛生講座(一)：熟齡健康關鍵時刻:帶狀疱疹(皮蛇)預防指南《當日參與實體講座提供餐盒》,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20252400_13
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,"國際事務人員培訓_跨文化有效溝通、國際學生／學人簽證、報部、法規修法、獎學金與註冊實務說明 Visas, MOE Reporting, Regulation Updates, Scholarships and Enrollment Practices for Inte...",https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20251700_06
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,諾貝爾獎得主演講系列 – 宋恭源先生頂尖研究講座 – Prof. Donna Strickland (2018年諾貝爾物理學獎得主),https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20253700_11
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,跨域Combo！校學士申請x半導體跨域學習計畫說明會,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20253752_02
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,114年傅斯年講座演講：中文系曹淑娟教授、社會系藍佩嘉教授,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20251100_03
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,產學合作工作坊-學生海報展,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20253707_02
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,臺大USR計畫【超高齡社會幸福學】活動：2025聖誕派對《愛上我的金色年華》,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20255310_01
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,諾貝爾獎得主演講系列 – 宋恭源先生頂尖研究講座 – Prof. Eric S. Maskin (2007年諾貝爾經濟學獎得主),https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20253700_09
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,No.281 文學院音樂會「恆河到伊江之聲 Sounds from Ganges to Irrawaddy」,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20255100_13
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,臺大椰林講座領航系列 - 圖靈獎得主Dr. Robert Endre Tarjan,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20253700_10
